customer_id,n_versions
CUST-000727,3
CUST-000314,3
CUST-000735,3
CUST-001037,3
CUST-000859,3
CUST-000762,3
CUST-000757,3
CUST-001340,3
CUST-001108,3
CUST-000886,3
CUST-000881,3
CUST-000799,3
CUST-000798,3
CUST-000221,3
CUST-000850,3
CUST-000442,3
CUST-001343,3
CUST-001182,3
CUST-001261,3
CUST-000500,3
CUST-000887,3
CUST-000555,3
CUST-001036,3
CUST-000097,3
CUST-000831,3
CUST-000765,3
CUST-000833,3
CUST-000379,3
CUST-000741,3
CUST-000115,3
CUST-001579,3
CUST-000137,3
CUST-001426,3
CUST-000444,3
CUST-001468,3
CUST-000249,3
CUST-001231,3
CUST-000259,3
CUST-001546,3
CUST-000937,3
CUST-000972,3
CUST-000531,3
CUST-000999,3
CUST-000544,3
CUST-000877,3
CUST-000566,3
CUST-001570,3
CUST-000580,3
CUST-000827,3
CUST-001630,3
