customer_sk,customer_id,loyalty_tier,home_store_id,email_domain,effective_start_date,effective_end_date,is_current,dbt_loaded_at
1,CUST-000001,bronze,STORE-15,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
2,CUST-000002,bronze,STORE-05,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
3,CUST-000003,silver,STORE-11,example.com,2026-07-20,2026-07-23,false,2026-07-24 19:30:12.63567+07
4,CUST-000003,silver,STORE-05,example.com,2026-07-24,,true,2026-07-24 19:30:12.63567+07
5,CUST-000004,bronze,STORE-11,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
6,CUST-000005,bronze,STORE-01,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
7,CUST-000006,silver,STORE-05,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
8,CUST-000007,gold,STORE-08,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
9,CUST-000008,bronze,STORE-11,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
10,CUST-000009,bronze,STORE-09,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
11,CUST-000010,silver,STORE-01,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
12,CUST-000011,bronze,STORE-10,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
13,CUST-000012,bronze,STORE-01,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
14,CUST-000013,bronze,STORE-09,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
15,CUST-000014,silver,STORE-06,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
16,CUST-000015,gold,STORE-10,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
17,CUST-000016,bronze,STORE-09,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
18,CUST-000017,silver,STORE-01,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
19,CUST-000018,silver,STORE-11,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
20,CUST-000019,silver,STORE-12,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
21,CUST-000020,silver,STORE-11,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
22,CUST-000021,silver,STORE-03,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
23,CUST-000022,gold,STORE-15,example.com,2026-07-20,2026-07-21,false,2026-07-24 19:30:12.63567+07
24,CUST-000022,platinum,STORE-15,example.com,2026-07-22,2026-07-23,false,2026-07-24 19:30:12.63567+07
25,CUST-000022,gold,STORE-15,example.com,2026-07-24,,true,2026-07-24 19:30:12.63567+07
26,CUST-000023,bronze,STORE-05,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
27,CUST-000024,bronze,STORE-03,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
28,CUST-000025,bronze,STORE-03,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
29,CUST-000026,bronze,STORE-04,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
30,CUST-000027,gold,STORE-12,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
31,CUST-000028,bronze,STORE-11,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
32,CUST-000029,bronze,STORE-07,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
33,CUST-000030,bronze,STORE-01,example.com,2026-07-20,2026-07-23,false,2026-07-24 19:30:12.63567+07
34,CUST-000030,silver,STORE-01,example.com,2026-07-24,,true,2026-07-24 19:30:12.63567+07
35,CUST-000031,silver,STORE-07,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
36,CUST-000032,silver,STORE-02,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
37,CUST-000033,gold,STORE-07,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
38,CUST-000034,bronze,STORE-09,example.com,2026-07-20,2026-07-21,false,2026-07-24 19:30:12.63567+07
39,CUST-000034,bronze,STORE-11,example.com,2026-07-22,,true,2026-07-24 19:30:12.63567+07
40,CUST-000035,silver,STORE-11,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
41,CUST-000036,gold,STORE-10,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
42,CUST-000037,bronze,STORE-04,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
43,CUST-000038,gold,STORE-08,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
44,CUST-000039,silver,STORE-06,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
45,CUST-000040,silver,STORE-04,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
46,CUST-000041,platinum,STORE-01,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
47,CUST-000042,bronze,STORE-08,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
48,CUST-000043,bronze,STORE-12,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
49,CUST-000044,bronze,STORE-08,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
50,CUST-000045,bronze,STORE-14,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
51,CUST-000046,bronze,STORE-13,example.com,2026-07-20,,true,2026-07-24 19:30:12.63567+07
52,CUST-000047,silver,STORE-10,example.com,2026-07-20,2026-07-21,false,2026-07-24 19:30:12.63567+07
53,CUST-000047,gold,STORE-10,example.com,2026-07-22,2026-07-23,false,2026-07-24 19:30:12.63567+07
54,CUST-000047,silver,STORE-10,example.com,2026-07-24,,true,2026-07-24 19:30:12.63567+07
55,CUST-000048,platinum,STORE-03,example.com,2026-07-20,2026-07-21,false,2026-07-24 19:30:12.63567+07
56,CUST-000048,gold,STORE-03,example.com,2026-07-22,,true,2026-07-24 19:30:12.63567+07
