customer_sk,customer_id,loyalty_tier,total_orders,total_revenue,avg_order_value,first_purchase_date,last_purchase_date,estimated_ltv
1648,CUST-001363,platinum,20,170784.52000000002,8539.23,2026-07-24,2026-07-24,426961.3
527,CUST-000442,platinum,24,163412.52000000002,6808.86,2026-07-24,2026-07-24,408531.3
548,CUST-000459,platinum,20,160414.84,8020.74,2026-07-24,2026-07-24,401037.1
1011,CUST-000848,gold,28,214243.04000000004,7651.54,2026-07-24,2026-07-24,385637.47
491,CUST-000413,platinum,12,142401.91999999998,11866.83,2026-07-24,2026-07-24,356004.8
1712,CUST-001417,platinum,12,139878.03999999998,11656.5,2026-07-24,2026-07-24,349695.1
782,CUST-000660,gold,16,192800.72000000006,12050.05,2026-07-24,2026-07-24,347041.3
557,CUST-000467,gold,20,189032.56,9451.63,2026-07-24,2026-07-24,340258.61
2377,CUST-001954,platinum,28,132022.0,4715.07,2026-07-24,2026-07-24,330055.0
1329,CUST-001098,gold,16,180476.11999999997,11279.76,2026-07-24,2026-07-24,324857.02
1998,CUST-001645,platinum,20,120483.64,6024.18,2026-07-24,2026-07-24,301209.1
1523,CUST-001257,gold,12,145056.88000000003,12088.07,2026-07-24,2026-07-24,261102.38
1595,CUST-001316,platinum,12,104043.0,8670.25,2026-07-24,2026-07-24,260107.5
218,CUST-000188,gold,16,141956.47999999998,8872.28,2026-07-24,2026-07-24,255521.66
1954,CUST-001615,platinum,12,90765.72,7563.81,2026-07-24,2026-07-24,226914.3
2098,CUST-001729,platinum,12,88773.80000000003,7397.82,2026-07-24,2026-07-24,221934.5
1682,CUST-001394,silver,20,169783.12,8489.16,2026-07-24,2026-07-24,220718.06
2259,CUST-001862,gold,12,120384.56,10032.05,2026-07-24,2026-07-24,216692.21
1093,CUST-000907,gold,12,119970.79999999999,9997.57,2026-07-24,2026-07-24,215947.44
1541,CUST-001271,silver,28,165471.75999999998,5909.71,2026-07-24,2026-07-24,215113.29
1387,CUST-001143,gold,8,116734.87999999998,14591.86,2026-07-24,2026-07-24,210122.78
1953,CUST-001614,silver,24,158329.88,6597.08,2026-07-24,2026-07-24,205828.84
1088,CUST-000904,gold,16,113862.47999999998,7116.4,2026-07-24,2026-07-24,204952.46
2044,CUST-001683,silver,12,156349.36000000002,13029.11,2026-07-24,2026-07-24,203254.17
1112,CUST-000926,gold,28,112649.76000000001,4023.21,2026-07-24,2026-07-24,202769.57
1202,CUST-000998,gold,16,112479.56000000003,7029.97,2026-07-24,2026-07-24,202463.21
2037,CUST-001678,gold,12,112098.0,9341.5,2026-07-24,2026-07-24,201776.4
2401,CUST-001973,gold,16,111032.16000000002,6939.51,2026-07-24,2026-07-24,199857.89
56,CUST-000048,gold,20,110686.48000000001,5534.32,2026-07-24,2026-07-24,199235.66
2356,CUST-001936,gold,16,110624.96,6914.06,2026-07-24,2026-07-24,199124.93
1516,CUST-001251,gold,12,109353.35999999999,9112.78,2026-07-24,2026-07-24,196836.05
1461,CUST-001207,platinum,8,78734.40000000001,9841.8,2026-07-24,2026-07-24,196836.0
1631,CUST-001348,platinum,8,78716.24,9839.53,2026-07-24,2026-07-24,196790.6
1073,CUST-000893,bronze,28,195856.88,6994.89,2026-07-24,2026-07-24,195856.88
589,CUST-000496,gold,8,108004.6,13500.58,2026-07-24,2026-07-24,194408.28
978,CUST-000823,bronze,20,190534.16000000003,9526.71,2026-07-24,2026-07-24,190534.16
1565,CUST-001290,gold,16,104872.35999999999,6554.52,2026-07-24,2026-07-24,188770.25
147,CUST-000126,gold,8,104669.31999999998,13083.66,2026-07-24,2026-07-24,188404.78
697,CUST-000583,gold,16,103759.6,6484.98,2026-07-24,2026-07-24,186767.28
2177,CUST-001791,gold,12,103127.24,8593.94,2026-07-24,2026-07-24,185629.03
1615,CUST-001336,platinum,12,74189.24,6182.44,2026-07-24,2026-07-24,185473.1
1750,CUST-001446,silver,20,142592.19999999998,7129.61,2026-07-24,2026-07-24,185369.86
761,CUST-000641,silver,24,141492.44000000003,5895.52,2026-07-24,2026-07-24,183940.17
806,CUST-000682,platinum,12,73388.0,6115.67,2026-07-24,2026-07-24,183470.0
657,CUST-000553,silver,16,141006.91999999998,8812.93,2026-07-24,2026-07-24,183309.0
1840,CUST-001526,gold,12,101378.84,8448.24,2026-07-24,2026-07-24,182481.91
1476,CUST-001219,platinum,8,72311.96,9039.0,2026-07-24,2026-07-24,180779.9
717,CUST-000601,platinum,8,72084.31999999999,9010.54,2026-07-24,2026-07-24,180210.8
917,CUST-000772,bronze,16,180154.2,11259.64,2026-07-24,2026-07-24,180154.2
1913,CUST-001580,silver,20,137499.0,6874.95,2026-07-24,2026-07-24,178748.7
1091,CUST-000905,silver,16,135613.28,8475.83,2026-07-24,2026-07-24,176297.26
683,CUST-000572,bronze,20,173965.87999999998,8698.29,2026-07-24,2026-07-24,173965.88
2225,CUST-001831,silver,12,133771.56,11147.63,2026-07-24,2026-07-24,173903.03
468,CUST-000394,silver,16,132315.24,8269.7,2026-07-24,2026-07-24,172009.81
2169,CUST-001786,platinum,8,68132.95999999999,8516.62,2026-07-24,2026-07-24,170332.4
1220,CUST-001010,gold,16,94252.68,5890.79,2026-07-24,2026-07-24,169654.82
